Name,Lat,Lon,tp_probb,tp_probn,tp_proba
DINGLE DELL,-25.148,151.629,31.0892810821533,33.554817199707,35.3559036254883
DOCTORS CREEK,-27.212,151.851,31.224292755127,33.5853004455566,35.1904067993164
DONALD,-36.37,142.972,31.6351203918457,33.0173835754395,35.3474960327148
DONGARA,-29.253,114.931,24.8623542785645,33.2834205627441,41.8542251586914
DONNYBROOK,-33.572,115.825,33.045654296875,34.4276580810547,32.5266876220703
DOODLAKINE,-31.614,117.877,24.7639122009277,30.5539207458496,44.6821670532227
DOON DOON (MCCABES ROAD),-28.531,153.315,32.1032104492188,33.8209266662598,34.0758628845215
DOONGAN,-15.38,126.311,34.0355529785156,32.6024627685547,33.3619842529297
DOONGARA,-20.558,146.481,32.9863128662109,30.8688354492188,36.1448516845703
DOONGIN PEAK,-31.619,117.437,26.8949317932129,31.3789386749268,41.726131439209
DOORAWARRAH,-24.806,114.432,21.8527317047119,31.6021499633789,46.5451202392578
DORRIGO (OLD CORAMBA RD),-30.346,152.719,32.640193939209,34.3837013244629,32.9761047363281
DOUBLE ISLAND POINT LIGHTHOUSE,-25.932,153.191,34.0610694885254,32.3957977294922,33.5431327819824
DOUGLAS RIVER,-13.835,131.187,36.4972915649414,28.5953903198242,34.9073181152344
DOWERIN,-31.194,117.031,26.8949317932129,31.3789386749268,41.726131439209
DRAKE (VILLAGE RESOURCE CENTRE),-28.928,152.376,29.904541015625,33.3644332885742,36.7310256958008
DRIK DRIK,-37.969,141.308,33.6769599914551,31.778003692627,34.545036315918
DUARINGA POST OFFICE,-23.714,149.673,30.7662220001221,32.8354034423828,36.3983726501465
DUBBO (MENTONE),-32.519,148.519,31.1629676818848,29.9176940917969,38.9193382263184
DUBBO AIRPORT AWS,-32.221,148.575,31.1629676818848,29.9176940917969,38.9193382263184
DUFFIELD RAMCO,-34.17,139.817,31.3751449584961,33.6206817626953,35.0041732788086
DUM IN MIRRIE AWS,-12.635,130.373,30.1214027404785,33.6998405456543,36.1787567138672
DUMBLEYUNG,-33.314,117.74,27.0476169586182,33.1565971374512,39.7957878112793
DUNBAR STATION,-16.041,142.379,33.6613502502441,31.3319702148438,35.0066795349121
DUNDEE (KARINGA),-29.582,151.948,29.7122745513916,33.2651596069336,37.0225677490234
DUNEDOO POST OFFICE,-32.016,149.395,31.1629676818848,29.9176940917969,38.9193382263184
DUNELM,-33.172,118.248,27.0476169586182,33.1565971374512,39.7957878112793
DUNGOG - MAIN CREEK (YERANDA),-32.281,151.795,32.0371704101562,33.4203796386719,34.5424499511719
DUNGOG POST OFFICE,-32.402,151.758,32.0371704101562,33.4203796386719,34.5424499511719
DUNKELD,-37.647,142.342,32.8670616149902,32.4074897766113,34.7254524230957
DUNMORE STATE FOREST,-27.574,151.084,30.5867137908936,33.2469673156738,36.1663208007812
DUNOLLIE,-25.85,151.367,29.2615547180176,34.049072265625,36.6893730163574
DUNOLLY,-36.86,143.728,31.8324432373047,32.1369018554688,36.0306587219238
DURHAM OX,-36.136,143.917,31.8324432373047,32.1369018554688,36.0306587219238
DURI (ASHGROVE),-31.296,150.861,30.2942371368408,32.8465576171875,36.859203338623
DURI POST OFFICE,-31.217,150.819,30.2942371368408,32.8465576171875,36.859203338623
DURRANDELLA,-24.072,146.614,28.8069896697998,33.8323669433594,37.3606414794922
DUTTON,-34.352,139.129,30.9613094329834,34.2044410705566,34.8342514038086
DWELLINGUP,-32.71,116.059,31.3476238250732,34.5436134338379,34.1087646484375
EAST SALE AIRPORT,-38.116,147.132,32.8386840820312,32.8414878845215,34.3198280334473
EAST SASSAFRAS (ELPHIN GROVE),-41.272,146.547,33.2666893005371,34.9785614013672,31.7547492980957
EBOR (GLENOWEN),-30.366,152.232,30.1517944335938,33.1021766662598,36.7460289001465
EBOR (MAPLEWOOD),-30.449,152.313,30.1517944335938,33.1021766662598,36.7460289001465
EBOR (PLEASANT VIEW),-30.397,152.358,30.1517944335938,33.1021766662598,36.7460289001465
EBOR (THE RACECOURSE),-30.365,152.405,30.1517944335938,33.1021766662598,36.7460289001465
EBOR (WONGWIBINDA),-30.289,152.17,30.1517944335938,33.1021766662598,36.7460289001465
EDAGGEE,-25.36,114.229,21.5051155090332,31.2863273620605,47.2085571289062
EDAH,-28.273,117.154,18.8603744506836,29.300817489624,51.838809967041
EDDYSTONE POINT,-40.993,148.347,33.1609497070312,32.8310127258301,34.0080375671387
EDEN (TIMBILLICA),-37.362,149.698,30.4071197509766,32.4192199707031,37.1736602783203
EDI UPPER,-36.739,146.467,30.9468517303467,33.917839050293,35.1353073120117
EDINBURGH RAAF,-34.711,138.622,30.9613094329834,34.2044410705566,34.8342514038086
EDJUDINA,-29.812,122.355,16.5837478637695,31.2084827423096,52.2077713012695
EIDSVOLD POST OFFICE,-25.373,151.123,29.2615547180176,34.049072265625,36.6893730163574
EILDON FIRE TOWER,-37.209,145.842,31.8574600219727,34.1110649108887,34.0314750671387
EJANDING,-31.01,117.134,26.8949317932129,31.3789386749268,41.726131439209
EKAMURRA,-33.691,115.844,33.045654296875,34.4276580810547,32.5266876220703
ELANDS (BLACK SANDS CREEK),-31.567,152.24,31.4927921295166,33.362907409668,35.1442985534668
ELAROO,-34.251,117.912,29.0727138519287,32.7172050476074,38.2100791931152
ELDERSLIE,-22.29,142.473,32.5672035217285,33.0754585266113,34.3573379516602
ELDERSLIE (ELDERSLIE FARM),-32.596,151.333,30.5956325531006,33.5577278137207,35.8466415405273
ELDORADO,-36.31,146.521,29.9807891845703,34.3145942687988,35.7046165466309
ELLANGOWAN,-27.959,151.666,31.224292755127,33.5853004455566,35.1904067993164
ELLERSTON (POITREL),-31.707,151.213,30.2942371368408,32.8465576171875,36.859203338623
ELLISTON,-33.65,134.888,29.2126350402832,32.192699432373,38.5946655273438
ELLISTON (LAMBING STATION),-33.752,135.186,29.2126350402832,32.192699432373,38.5946655273438
ELMORE,-36.496,144.61,31.4971542358398,32.4115295410156,36.0913162231445
ELPHINSTONE POCKET NO1,-18.499,146.004,32.7443580627441,33.5686950683594,33.6869468688965
ELSMORE (DANTHONIA),-29.778,151.351,29.3113136291504,32.3121604919434,38.3765258789062
EMBREYS BRIDGE,-26.64,151.943,31.0349273681641,33.6288871765137,35.3361892700195
EMERALD AIRPORT,-23.569,148.176,29.1256237030029,32.2452964782715,38.6290817260742
EMMAVILLE (GLEN OAK),-29.53,151.671,29.7122745513916,33.2651596069336,37.0225677490234
EMMAVILLE (STRATHBOGIE),-29.457,151.475,29.3113136291504,32.3121604919434,38.3765258789062
ENSAY,-37.376,147.837,33.6546325683594,31.2593860626221,35.0859832763672
EPPALOCK RESERVOIR,-36.847,144.527,31.4971542358398,32.4115295410156,36.0913162231445
ERAMURRA POOL,-21.054,116.258,24.9877986907959,32.3665428161621,42.6456604003906
ERICA (PARKERS CORNER),-37.953,146.39,31.8574600219727,34.1110649108887,34.0314750671387
